Sector,Year,Industry,Industry price change %,Max increase ticker (increase %),Max volume ticker (volume)
HEALTH CARE,1987,INDUSTRIAL SPECIALTIES,-35.86,IVC (-15.87),MSA (9656100)
HEALTH CARE,1986,OPHTHALMIC GOODS,-36.07,COO (-36.07),COO (25579000)
HEALTH CARE,1989,OPHTHALMIC GOODS,-38.1,COO (-38.1),COO (17212400)
HEALTH CARE,2014,BIOTECHNOLOGY: ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,-38.12,NXTM (73.57),MDT (1790610800)
HEALTH CARE,1992,MEDICAL ELECTRONICS,-38.16,HOLX (-38.16),HOLX (96234400)
HEALTH CARE,2015,MEDICAL ELECTRONICS,-38.22,HOLX (46.66),HOLX (591205000)
HEALTH CARE,2013,BIOTECHNOLOGY: COMMERCIAL PHYSICAL & BIOLOGICAL RESARCH,-38.3,INCY (197.82),EXEL (397472900)
HEALTH CARE,1984,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),-38.45,AMGN (-31.03),AMGN (204441600)
HEALTH CARE,1999,MEDICAL/NURSING SERVICES,-38.5,WBA (2.86),ESRX (1358342400)
HEALTH CARE,1990,BIOTECHNOLOGY: IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,-39.93,VIVO (16.0),NEOG (11033900)
HEALTH CARE,2008,MEDICAL SPECIALITIES,-40.65,BEAT (39.27),UNH (2855258300)
HEALTH CARE,2005,MAJOR PHARMACEUTICALS,-40.8,UBX (374.58),PFE (7355817600)
HEALTH CARE,1974,MEDICAL/DENTAL INSTRUMENTS,-41.43,MMM (-41.43),MMM (86840800)
HEALTH CARE,2012,BIOTECHNOLOGY: COMMERCIAL PHYSICAL & BIOLOGICAL RESARCH,-41.5,ICLR (60.74),EXEL (623716900)
HEALTH CARE,2004,PRECISION INSTRUMENTS,-41.86,NEO (-41.86),NEO (802400)
HEALTH CARE,1988,OPHTHALMIC GOODS,-41.89,COO (-41.89),COO (29552400)
HEALTH CARE,2008,PRECISION INSTRUMENTS,-41.9,NEO (-41.9),NEO (6783300)
HEALTH CARE,1996,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),-41.92,VBIV (193.18),GILD (3176848000)
HEALTH CARE,1998,MEDICAL ELECTRONICS,-42.77,HOLX (-42.77),HOLX (162866800)
HEALTH CARE,2010,BIOTECHNOLOGY: COMMERCIAL PHYSICAL & BIOLOGICAL RESARCH,-42.78,BASI (140.0),INCY (494657600)
HEALTH CARE,1998,MAJOR PHARMACEUTICALS,-43.0,IMGN (133.33),PFE (3112089600)
HEALTH CARE,2008,INDUSTRIAL SPECIALTIES,-43.84,EW (21.57),ISRG (777529200)
HEALTH CARE,1990,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),-44.32,AMGN (141.75),AMGN (4274450400)
HEALTH CARE,1998,BIOTECHNOLOGY: COMMERCIAL PHYSICAL & BIOLOGICAL RESARCH,-44.82,ICLR (31.7),INCY (153831800)
HEALTH CARE,2005,BIOTECHNOLOGY: COMMERCIAL PHYSICAL & BIOLOGICAL RESARCH,-44.87,SNMX (42.25),INCY (253187100)
HEALTH CARE,2008,BIOTECHNOLOGY: ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,-45.76,AXGN (57.14),MDT (1876094600)
HEALTH CARE,1994,MAJOR PHARMACEUTICALS,-46.35,TLGT (40.58),PFE (2566366800)
HEALTH CARE,1993,BIOTECHNOLOGY: ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,-47.12,VAR (39.94),MDT (1154947200)
HEALTH CARE,2002,HOSPITAL/NURSING MANAGEMENT,-48.41,HCSG (30.4),GEN (442271500)
HEALTH CARE,2011,MAJOR PHARMACEUTICALS,-49.46,LFVN (286.49),PFE (12316613800)
HEALTH CARE,2010,BIOTECHNOLOGY: ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,-50.02,NXTM (191.33),MDT (1680002700)
HEALTH CARE,2001,BIOTECHNOLOGY: ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,-50.33,EDAP (201.33),MDT (1014841200)
HEALTH CARE,1992,MAJOR PHARMACEUTICALS,-50.63,TEVA (97.19),PFE (2574054000)
HEALTH CARE,1998,OPHTHALMIC GOODS,-50.68,COO (-48.76),COO (63935200)
HEALTH CARE,1974,MEDICAL/NURSING SERVICES,-51.35,CHE (-51.35),CHE (1615200)
HEALTH CARE,1973,MEDICAL/NURSING SERVICES,-51.39,CHE (-51.39),CHE (1282800)
HEALTH CARE,1987,OPHTHALMIC GOODS,-51.77,COO (-51.77),COO (23068200)
HEALTH CARE,1999,MEDICAL ELECTRONICS,-51.83,HOLX (-51.83),HOLX (148404000)
HEALTH CARE,2005,PRECISION INSTRUMENTS,-52.5,NEO (-52.5),NEO (4285400)
HEALTH CARE,1990,MEDICAL ELECTRONICS,-52.94,HOLX (-52.94),HOLX (120405600)
HEALTH CARE,2011,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),-53.54,VBIV (631.58),GILD (4251720800)
HEALTH CARE,2008,OPHTHALMIC GOODS,-53.61,STAA (-4.03),COO (174006100)
HEALTH CARE,2010,HOSPITAL/NURSING MANAGEMENT,-53.76,ARA (213.95),THC (679060400)
HEALTH CARE,1998,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),-53.83,AMGN (93.86),AMGN (3048559600)
HEALTH CARE,2002,MAJOR PHARMACEUTICALS,-56.15,LCI (374.78),PFE (4171382900)
HEALTH CARE,2008,MEDICAL/DENTAL INSTRUMENTS,-56.76,LMNX (31.61),BSX (3158826900)
HEALTH CARE,1999,OTHER PHARMACEUTICALS,-56.89,ACET (-16.19),MCK (663692400)
HEALTH CARE,1994,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),-57.28,VXRT (130.77),AMGN (2801628800)
HEALTH CARE,1985,BIOTECHNOLOGY: IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,-57.58,IMMU (-57.58),IMMU (5001900)
